ext1,ext2,ext3,ext4,ext5,ext6,ext7,ext8,ext9,ext10,est1,est2,est3,est4,est5,est6,est7,est8,est9,est10,agr1,agr2,agr3,agr4,agr5,agr6,agr7,agr8,agr9,agr10,csn1,csn2,csn3,csn4,csn5,csn6,csn7,csn8,csn9,csn10,opn1,opn2,opn3,opn4,opn5,opn6,opn7,opn8,opn9,opn10,degree_category,happiness_level,gender,birth_date,birth_location_country_clean,age,age_group,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,neuroticism_score,zodiac_sign,zodiac_group
4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Business,4,M,1998-08-15,Argentina,25,18-30,48.0,33.0,41.0,42.0,28.0,Leo,Fuego
4.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,4.0,5.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,STEM,4,M,1997-04-14,Argentina,26,18-30,50.0,35.0,36.0,44.0,35.0,Aries,Fuego
4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,Social Sciences,3,F,2000-01-28,Spain,23,18-30,42.0,31.0,35.0,31.0,40.0,Acuario,Aire
2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,Education,3,F,1967-01-04,Argentina,56,46-59,36.0,31.0,30.0,42.0,36.0,Capricornio,Tierra
3.0,2.0,2.0,3.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,1.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,5.0,5.0,,3,M,1995-02-24,Argentina,28,18-30,43.0,33.0,29.0,41.0,20.0,Piscis,Agua
3.0,5.0,4.0,3.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,Social Sciences,4,F,2003-05-25,Argentina,20,18-30,32.0,34.0,36.0,41.0,34.0,Géminis,Aire
4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,Business,4,F,2000-01-24,Spain,23,18-30,30.0,44.0,31.0,33.0,33.0,Acuario,Aire
2.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,5.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,STEM,4,M,1993-06-05,Argentina,30,31-45,48.0,41.0,35.0,37.0,18.0,Géminis,Aire
3.0,5.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,Health Sciences,4,M,1968-10-05,Spain,55,46-59,34.0,32.0,37.0,45.0,24.0,Libra,Aire
3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,1.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,Humanities,3,F,1965-08-21,Argentina,58,46-59,37.0,46.0,31.0,41.0,37.0,Leo,Fuego
