ext1,ext2,ext3,ext4,ext5,ext6,ext7,ext8,ext9,ext10,est1,est2,est3,est4,est5,est6,est7,est8,est9,est10,agr1,agr2,agr3,agr4,agr5,agr6,agr7,agr8,agr9,agr10,csn1,csn2,csn3,csn4,csn5,csn6,csn7,csn8,csn9,csn10,opn1,opn2,opn3,opn4,opn5,opn6,opn7,opn8,opn9,opn10,degree_category,degree,happiness_level,gender,birth_date,birth_location_country,birth_location_country_clean,birth_location_province,birth_location_city
4,1,4,2,4,2,4,2,4,2,3,4,4,3,3,3,2,2,3,3,2,4,2,4,2,4,2,5,4,5,4,4,4,2,3,3,4,3,3,3,5,2,5,1,5,1,4,5,5,5,Business,Negocios Digitales,4,M,1998/08/15,Argentina,Argentina,Buenos Aires,San Isidro
4,1,3,2,5,1,3,3,2,4,4,2,5,2,3,4,2,3,3,3,1,5,4,5,1,5,1,4,4,4,3,5,4,1,1,4,5,2,5,5,5,1,5,1,5,1,5,5,5,5,STEM,Física,4,M,1997/04/14,Argentina,Argentina,CABA,Recoleta
4,3,4,2,4,2,4,2,2,4,3,1,5,2,4,4,4,4,5,2,3,3,4,4,2,3,3,2,3,4,4,2,5,3,1,4,3,3,2,4,5,2,4,2,5,3,5,5,4,3,Social Sciences,Dret,3,F,2000/01/28,Catalunya,Spain,Barcelona,Barcelona
2,3,4,3,3,4,4,3,3,3,4,2,5,3,3,3,3,4,3,4,2,4,2,4,1,3,1,5,4,4,3,4,4,4,2,3,4,2,3,4,4,2,3,3,4,3,4,3,4,4,Education,Psicopedagogia,3,F,1967/01/04,Argentina,Argentina,Ciudad de Buenos Aires,Ciudad de Buenos Aires
3,4,2,3,5,1,5,4,1,5,2,5,5,5,2,2,2,2,2,1,1,5,5,5,2,3,1,4,4,5,3,4,4,2,2,2,4,3,3,4,5,1,5,1,3,2,4,2,5,5,None,Ninguna,3,M,1995/02/24,Argentina,Argentina,Buenos aires,San isidro
3,1,4,3,5,1,3,4,2,2,4,2,4,2,2,3,3,3,5,2,1,4,3,4,2,4,1,4,4,4,3,2,3,3,3,3,3,3,5,4,4,2,3,3,3,3,3,2,4,3,Social Sciences,Ciencias del comportamiento,4,F,2003/05/25,Argentina,Argentina,Buenos aires,Vicente lopez
4,2,3,3,3,4,3,3,3,3,3,3,5,3,2,4,3,3,4,3,4,3,2,3,4,4,4,4,5,4,5,2,5,2,5,2,5,2,4,4,3,3,3,3,3,3,3,2,4,3,Business,Turisme,4,F,2000/01/24,Espanya,Spain,Barcelona,Barcelona
2,3,3,4,4,1,3,2,4,1,1,5,3,2,1,1,2,2,1,2,1,5,1,2,2,4,2,2,3,3,3,1,5,1,2,1,5,1,1,5,5,1,5,1,5,1,5,3,5,5,STEM,Ingeniería en Energía - Licenciatura en Ciencia de Datos,4,M,1993/06/05,Argentina,Argentina,Buenos Aires,San Isidro
3,1,4,2,4,1,3,4,3,2,1,3,4,4,3,3,1,2,4,1,2,4,1,4,1,5,1,4,4,5,3,4,4,3,3,4,2,1,4,4,4,3,4,3,4,2,4,2,3,3,Health Sciences,Veterinària,4,M,1968/10/05,Catalunya,Spain,Barcelona,Barcelona
3,3,4,3,3,3,4,4,4,4,1,1,5,4,4,4,4,4,4,4,1,5,3,4,1,1,1,4,4,5,4,1,5,4,5,1,5,1,5,5,5,4,4,4,4,2,5,3,4,4,Humanities,Traductorado Publico,3,F,1965/08/21,Argentina,Argentina,Buenos Aires,Buenos Aires
